id.dyad	child.adult	condition	action.type	counterbalancing	oi.score	oi.score.blind	single.id	dyad.id	box.id
3	child	experimental	NC	A	0	0	3.child.experimental	3.experimental	1
3	child	experimental	R	A	1	NA	3.child.experimental	3.experimental	1
3	child	experimental	PI	A	1	1	3.child.experimental	3.experimental	2
3	child	experimental	R	A	1	NA	3.child.experimental	3.experimental	2
3	child	experimental	PI	A	1	1	3.child.experimental	3.experimental	3
3	child	experimental	R	A	1	NA	3.child.experimental	3.experimental	3
3	child	experimental	NC	A	1	1	3.child.experimental	3.experimental	4
3	child	experimental	R	A	1	NA	3.child.experimental	3.experimental	4
4	child	experimental	PI	B	1	NA	4.child.experimental	4.experimental	1
4	child	experimental	R	B	1	NA	4.child.experimental	4.experimental	1
4	child	experimental	NC	B	0	NA	4.child.experimental	4.experimental	2
4	child	experimental	R	B	1	NA	4.child.experimental	4.experimental	2
4	child	experimental	NC	B	0	NA	4.child.experimental	4.experimental	3
4	child	experimental	R	B	1	NA	4.child.experimental	4.experimental	3
4	child	experimental	PI	B	0	NA	4.child.experimental	4.experimental	4
4	child	experimental	R	B	1	NA	4.child.experimental	4.experimental	4
5	child	experimental	NC	A	0	0	5.child.experimental	5.experimental	1
5	child	experimental	R	A	1	NA	5.child.experimental	5.experimental	1
5	child	experimental	PI	A	1	1	5.child.experimental	5.experimental	2
5	child	experimental	R	A	1	NA	5.child.experimental	5.experimental	2
5	child	experimental	PI	A	1	1	5.child.experimental	5.experimental	3
5	child	experimental	R	A	1	NA	5.child.experimental	5.experimental	3
5	child	experimental	NC	A	0	0	5.child.experimental	5.experimental	4
5	child	experimental	R	A	1	NA	5.child.experimental	5.experimental	4
6	child	experimental	PI	B	0	0	6.child.experimental	6.experimental	1
6	child	experimental	R	B	1	NA	6.child.experimental	6.experimental	1
6	child	experimental	NC	B	0	0	6.child.experimental	6.experimental	2
6	child	experimental	R	B	1	NA	6.child.experimental	6.experimental	2
6	child	experimental	NC	B	0	0	6.child.experimental	6.experimental	3
6	child	experimental	R	B	1	NA	6.child.experimental	6.experimental	3
6	child	experimental	PI	B	1	1	6.child.experimental	6.experimental	4
6	child	experimental	R	B	1	NA	6.child.experimental	6.experimental	4
7	child	experimental	NC	A	0	0	7.child.experimental	7.experimental	1
7	child	experimental	R	A	0	NA	7.child.experimental	7.experimental	1
7	child	experimental	PI	A	1	1	7.child.experimental	7.experimental	2
7	child	experimental	R	A	1	NA	7.child.experimental	7.experimental	2
7	child	experimental	PI	A	1	1	7.child.experimental	7.experimental	3
7	child	experimental	R	A	1	NA	7.child.experimental	7.experimental	3
7	child	experimental	NC	A	1	1	7.child.experimental	7.experimental	4
7	child	experimental	R	A	1	NA	7.child.experimental	7.experimental	4
8	child	experimental	PI	B	1	NA	8.child.experimental	8.experimental	1
8	child	experimental	R	B	1	NA	8.child.experimental	8.experimental	1
8	child	experimental	NC	B	0	NA	8.child.experimental	8.experimental	2
8	child	experimental	R	B	1	NA	8.child.experimental	8.experimental	2
8	child	experimental	NC	B	0	NA	8.child.experimental	8.experimental	3
8	child	experimental	R	B	1	NA	8.child.experimental	8.experimental	3
8	child	experimental	PI	B	1	NA	8.child.experimental	8.experimental	4
8	child	experimental	R	B	1	NA	8.child.experimental	8.experimental	4
9	child	experimental	PI	B	1	1	9.child.experimental	9.experimental	1
9	child	experimental	R	B	1	NA	9.child.experimental	9.experimental	1
9	child	experimental	NC	B	1	1	9.child.experimental	9.experimental	2
9	child	experimental	R	B	1	NA	9.child.experimental	9.experimental	2
9	child	experimental	NC	B	1	1	9.child.experimental	9.experimental	3
9	child	experimental	R	B	1	NA	9.child.experimental	9.experimental	3
9	child	experimental	PI	B	1	1	9.child.experimental	9.experimental	4
9	child	experimental	R	B	1	NA	9.child.experimental	9.experimental	4
10	child	experimental	NC	A	0	NA	10.child.experimental	10.experimental	1
10	child	experimental	R	A	0	NA	10.child.experimental	10.experimental	1
10	child	experimental	PI	A	1	NA	10.child.experimental	10.experimental	2
10	child	experimental	R	A	1	NA	10.child.experimental	10.experimental	2
