dyad.complete	dyad.id	single.id	child.adult	sex	box	rando.order	irrelevant.action	trial	action	aoi	stimulus.name	aoi.time	time.demo	time.fixations.screen	behavior
1	1	1.child	child	female	2	A	PI	0	Intro	face	2	297	842	757	NA
1	1	1.child	child	female	2	A	PI	0	Intro	hands	2	0	842	757	NA
1	1	1.child	child	female	2	A	PI	0	Intro	marble	2	0	842	757	NA
1	1	1.child	child	female	2	A	PI	0	Intro	box	2	438	842	757	NA
1	1	1.child	child	female	2	A	PI	0	Intro	tool	2	0	842	757	NA
1	1	1.child	child	female	2	A	PI	0	Intro	box+barrier	2	438	842	757	NA
1	1	1.child	child	female	2	A	PI	0	Intro	hands+tool	2	0	842	757	NA
1	1	1.child	child	female	2	A	PI	0	Intro	hand+barrier+tool	2	0	842	757	NA
1	1	1.child	child	female	2	A	PI	0	Intro	hand+box+barrier+tool	2	438	842	757	NA
1	1	1.child	child	female	2	A	PI	1	PI	face	2	38	747	698	NA
1	1	1.child	child	female	2	A	PI	1	PI	hands	2	507	747	698	NA
1	1	1.child	child	female	2	A	PI	1	PI	marble	2	0	747	698	NA
1	1	1.child	child	female	2	A	PI	1	PI	box	2	607	747	698	NA
1	1	1.child	child	female	2	A	PI	1	PI	tool	2	0	747	698	NA
1	1	1.child	child	female	2	A	PI	1	PI	box+barrier	2	607	747	698	NA
1	1	1.child	child	female	2	A	PI	1	PI	hands+tool	2	507	747	698	NA
1	1	1.child	child	female	2	A	PI	1	PI	hand+barrier+tool	2	507	747	698	NA
1	1	1.child	child	female	2	A	PI	1	PI	hand+box+barrier+tool	2	618	747	698	NA
1	1	1.child	child	female	2	A	PI	1	R	face	2	141	747	670	NA
1	1	1.child	child	female	2	A	PI	1	R	hands	2	383	747	670	NA
1	1	1.child	child	female	2	A	PI	1	R	marble	2	0	747	670	NA
1	1	1.child	child	female	2	A	PI	1	R	box	2	528	747	670	NA
1	1	1.child	child	female	2	A	PI	1	R	tool	2	0	747	670	NA
1	1	1.child	child	female	2	A	PI	1	R	box+barrier	2	528	747	670	NA
1	1	1.child	child	female	2	A	PI	1	R	hands+tool	2	383	747	670	NA
1	1	1.child	child	female	2	A	PI	1	R	hand+barrier+tool	2	383	747	670	NA
1	1	1.child	child	female	2	A	PI	1	R	hand+box+barrier+tool	2	528	747	670	NA
1	1	1.child	child	female	2	A	PI	1	SM	face	2	157	387	343	NA
1	1	1.child	child	female	2	A	PI	1	SM	hands	2	129	387	343	NA
1	1	1.child	child	female	2	A	PI	1	SM	marble	2	129	387	343	NA
1	1	1.child	child	female	2	A	PI	1	SM	box	2	29	387	343	NA
1	1	1.child	child	female	2	A	PI	1	SM	tool	2	0	387	343	NA
1	1	1.child	child	female	2	A	PI	1	SM	box+barrier	2	29	387	343	NA
1	1	1.child	child	female	2	A	PI	1	SM	hands+tool	2	129	387	343	NA
1	1	1.child	child	female	2	A	PI	1	SM	hand+barrier+tool	2	129	387	343	NA
1	1	1.child	child	female	2	A	PI	1	SM	hand+box+barrier+tool	2	158	387	343	NA
1	1	1.child	child	female	2	A	PI	2	PI	face	2	117	748	666	NA
1	1	1.child	child	female	2	A	PI	2	PI	hands	2	340	748	666	NA
1	1	1.child	child	female	2	A	PI	2	PI	marble	2	32	748	666	NA
1	1	1.child	child	female	2	A	PI	2	PI	box	2	512	748	666	NA
1	1	1.child	child	female	2	A	PI	2	PI	tool	2	0	748	666	NA
1	1	1.child	child	female	2	A	PI	2	PI	box+barrier	2	512	748	666	NA
1	1	1.child	child	female	2	A	PI	2	PI	hands+tool	2	340	748	666	NA
1	1	1.child	child	female	2	A	PI	2	PI	hand+barrier+tool	2	340	748	666	NA
1	1	1.child	child	female	2	A	PI	2	PI	hand+box+barrier+tool	2	515	748	666	NA
1	1	1.child	child	female	2	A	PI	2	R	face	2	122	750	637	NA
1	1	1.child	child	female	2	A	PI	2	R	hands	2	123	750	637	NA
1	1	1.child	child	female	2	A	PI	2	R	marble	2	222	750	637	NA
1	1	1.child	child	female	2	A	PI	2	R	box	2	392	750	637	NA
1	1	1.child	child	female	2	A	PI	2	R	tool	2	0	750	637	NA
1	1	1.child	child	female	2	A	PI	2	R	box+barrier	2	392	750	637	NA
1	1	1.child	child	female	2	A	PI	2	R	hands+tool	2	123	750	637	NA
1	1	1.child	child	female	2	A	PI	2	R	hand+barrier+tool	2	123	750	637	NA
1	1	1.child	child	female	2	A	PI	2	R	hand+box+barrier+tool	2	431	750	637	NA
1	1	1.child	child	female	2	A	PI	2	SM	face	2	36	390	234	NA
1	1	1.child	child	female	2	A	PI	2	SM	hands	2	101	390	234	NA
1	1	1.child	child	female	2	A	PI	2	SM	marble	2	101	390	234	NA
1	1	1.child	child	female	2	A	PI	2	SM	box	2	69	390	234	NA
1	1	1.child	child	female	2	A	PI	2	SM	tool	2	0	390	234	NA
1	1	1.child	child	female	2	A	PI	2	SM	box+barrier	2	69	390	234	NA
1	1	1.child	child	female	2	A	PI	2	SM	hands+tool	2	101	390	234	NA
1	1	1.child	child	female	2	A	PI	2	SM	hand+barrier+tool	2	101	390	234	NA
1	1	1.child	child	female	2	A	PI	2	SM	hand+box+barrier+tool	2	170	390	234	NA
1	1	1.child	child	female	2	A	PI	3	PI	face	2	186	753	545	NA
1	1	1.child	child	female	2	A	PI	3	PI	hands	2	132	753	545	NA
1	1	1.child	child	female	2	A	PI	3	PI	marble	2	37	753	545	NA
1	1	1.child	child	female	2	A	PI	3	PI	box	2	245	753	545	NA
1	1	1.child	child	female	2	A	PI	3	PI	tool	2	0	753	545	NA
1	1	1.child	child	female	2	A	PI	3	PI	box+barrier	2	245	753	545	NA
1	1	1.child	child	female	2	A	PI	3	PI	hands+tool	2	132	753	545	NA
1	1	1.child	child	female	2	A	PI	3	PI	hand+barrier+tool	2	132	753	545	NA
1	1	1.child	child	female	2	A	PI	3	PI	hand+box+barrier+tool	2	245	753	545	NA
1	1	1.child	child	female	2	A	PI	3	R	face	2	110	745	669	NA
1	1	1.child	child	female	2	A	PI	3	R	hands	2	309	745	669	NA
1	1	1.child	child	female	2	A	PI	3	R	marble	2	69	745	669	NA
1	1	1.child	child	female	2	A	PI	3	R	box	2	502	745	669	NA
1	1	1.child	child	female	2	A	PI	3	R	tool	2	0	745	669	NA
1	1	1.child	child	female	2	A	PI	3	R	box+barrier	2	502	745	669	NA
1	1	1.child	child	female	2	A	PI	3	R	hands+tool	2	309	745	669	NA
1	1	1.child	child	female	2	A	PI	3	R	hand+barrier+tool	2	309	745	669	NA
1	1	1.child	child	female	2	A	PI	3	R	hand+box+barrier+tool	2	532	745	669	NA
1	1	1.child	child	female	2	A	PI	3	SM	face	2	100	387	299	NA
1	1	1.child	child	female	2	A	PI	3	SM	hands	2	90	387	299	NA
1	1	1.child	child	female	2	A	PI	3	SM	marble	2	90	387	299	NA
1	1	1.child	child	female	2	A	PI	3	SM	box	2	88	387	299	NA
1	1	1.child	child	female	2	A	PI	3	SM	tool	2	0	387	299	NA
1	1	1.child	child	female	2	A	PI	3	SM	box+barrier	2	88	387	299	NA
1	1	1.child	child	female	2	A	PI	3	SM	hands+tool	2	90	387	299	NA
1	1	1.child	child	female	2	A	PI	3	SM	hand+barrier+tool	2	90	387	299	NA
1	1	1.child	child	female	2	A	PI	3	SM	hand+box+barrier+tool	2	178	387	299	NA
1	1	1.child	child	female	3	A	PI	0	Intro	face	3	99	746	617	NA
1	1	1.child	child	female	3	A	PI	0	Intro	hands	3	83	746	617	NA
1	1	1.child	child	female	3	A	PI	0	Intro	marble	3	0	746	617	NA
1	1	1.child	child	female	3	A	PI	0	Intro	box	3	435	746	617	NA
1	1	1.child	child	female	3	A	PI	0	Intro	tool	3	64	746	617	NA
1	1	1.child	child	female	3	A	PI	0	Intro	box+barrier	3	435	746	617	NA
1	1	1.child	child	female	3	A	PI	0	Intro	hands+tool	3	83	746	617	NA
1	1	1.child	child	female	3	A	PI	0	Intro	hand+barrier+tool	3	83	746	617	NA
1	1	1.child	child	female	3	A	PI	0	Intro	hand+box+barrier+tool	3	518	746	617	NA
1	1	1.child	child	female	3	A	PI	1	PI	face	3	48	750	641	NA
1	1	1.child	child	female	3	A	PI	1	PI	hands	3	509	750	641	NA
1	1	1.child	child	female	3	A	PI	1	PI	marble	3	0	750	641	NA
1	1	1.child	child	female	3	A	PI	1	PI	box	3	545	750	641	NA
1	1	1.child	child	female	3	A	PI	1	PI	tool	3	0	750	641	NA
1	1	1.child	child	female	3	A	PI	1	PI	box+barrier	3	545	750	641	NA
1	1	1.child	child	female	3	A	PI	1	PI	hands+tool	3	509	750	641	NA
1	1	1.child	child	female	3	A	PI	1	PI	hand+barrier+tool	3	509	750	641	NA
1	1	1.child	child	female	3	A	PI	1	PI	hand+box+barrier+tool	3	550	750	641	NA
1	1	1.child	child	female	3	A	PI	1	R	face	3	55	750	686	NA
1	1	1.child	child	female	3	A	PI	1	R	hands	3	157	750	686	NA
1	1	1.child	child	female	3	A	PI	1	R	marble	3	231	750	686	NA
1	1	1.child	child	female	3	A	PI	1	R	box	3	630	750	686	NA
1	1	1.child	child	female	3	A	PI	1	R	tool	3	230	750	686	NA
1	1	1.child	child	female	3	A	PI	1	R	box+barrier	3	630	750	686	NA
1	1	1.child	child	female	3	A	PI	1	R	hands+tool	3	387	750	686	NA
1	1	1.child	child	female	3	A	PI	1	R	hand+barrier+tool	3	387	750	686	NA
1	1	1.child	child	female	3	A	PI	1	R	hand+box+barrier+tool	3	630	750	686	NA
1	1	1.child	child	female	3	A	PI	1	SM	face	3	46	405	360	NA
1	1	1.child	child	female	3	A	PI	1	SM	hands	3	92	405	360	NA
1	1	1.child	child	female	3	A	PI	1	SM	marble	3	73	405	360	NA
1	1	1.child	child	female	3	A	PI	1	SM	box	3	186	405	360	NA
1	1	1.child	child	female	3	A	PI	1	SM	tool	3	0	405	360	NA
1	1	1.child	child	female	3	A	PI	1	SM	box+barrier	3	186	405	360	NA
1	1	1.child	child	female	3	A	PI	1	SM	hands+tool	3	92	405	360	NA
1	1	1.child	child	female	3	A	PI	1	SM	hand+barrier+tool	3	92	405	360	NA
1	1	1.child	child	female	3	A	PI	1	SM	hand+box+barrier+tool	3	278	405	360	NA
1	1	1.child	child	female	3	A	PI	2	PI	face	3	102	747	623	NA
1	1	1.child	child	female	3	A	PI	2	PI	hands	3	341	747	623	NA
1	1	1.child	child	female	3	A	PI	2	PI	marble	3	69	747	623	NA
1	1	1.child	child	female	3	A	PI	2	PI	box	3	520	747	623	NA
1	1	1.child	child	female	3	A	PI	2	PI	tool	3	0	747	623	NA
1	1	1.child	child	female	3	A	PI	2	PI	box+barrier	3	520	747	623	NA
1	1	1.child	child	female	3	A	PI	2	PI	hands+tool	3	341	747	623	NA
1	1	1.child	child	female	3	A	PI	2	PI	hand+barrier+tool	3	341	747	623	NA
1	1	1.child	child	female	3	A	PI	2	PI	hand+box+barrier+tool	3	520	747	623	NA
1	1	1.child	child	female	3	A	PI	2	R	face	3	0	749	713	NA
1	1	1.child	child	female	3	A	PI	2	R	hands	3	181	749	713	NA
1	1	1.child	child	female	3	A	PI	2	R	marble	3	30	749	713	NA
1	1	1.child	child	female	3	A	PI	2	R	box	3	659	749	713	NA
1	1	1.child	child	female	3	A	PI	2	R	tool	3	333	749	713	NA
1	1	1.child	child	female	3	A	PI	2	R	box+barrier	3	659	749	713	NA
1	1	1.child	child	female	3	A	PI	2	R	hands+tool	3	514	749	713	NA
1	1	1.child	child	female	3	A	PI	2	R	hand+barrier+tool	3	514	749	713	NA
1	1	1.child	child	female	3	A	PI	2	R	hand+box+barrier+tool	3	664	749	713	NA
1	1	1.child	child	female	3	A	PI	2	SM	face	3	59	405	350	NA
1	1	1.child	child	female	3	A	PI	2	SM	hands	3	216	405	350	NA
1	1	1.child	child	female	3	A	PI	2	SM	marble	3	216	405	350	NA
1	1	1.child	child	female	3	A	PI	2	SM	box	3	50	405	350	NA
1	1	1.child	child	female	3	A	PI	2	SM	tool	3	0	405	350	NA
1	1	1.child	child	female	3	A	PI	2	SM	box+barrier	3	50	405	350	NA
1	1	1.child	child	female	3	A	PI	2	SM	hands+tool	3	216	405	350	NA
1	1	1.child	child	female	3	A	PI	2	SM	hand+barrier+tool	3	216	405	350	NA
1	1	1.child	child	female	3	A	PI	2	SM	hand+box+barrier+tool	3	266	405	350	NA
1	1	1.child	child	female	3	A	PI	3	PI	face	3	0	748	715	NA
1	1	1.child	child	female	3	A	PI	3	PI	hands	3	661	748	715	NA
1	1	1.child	child	female	3	A	PI	3	PI	marble	3	0	748	715	NA
1	1	1.child	child	female	3	A	PI	3	PI	box	3	522	748	715	NA
1	1	1.child	child	female	3	A	PI	3	PI	tool	3	139	748	715	NA
1	1	1.child	child	female	3	A	PI	3	PI	box+barrier	3	522	748	715	NA
1	1	1.child	child	female	3	A	PI	3	PI	hands+tool	3	661	748	715	NA
1	1	1.child	child	female	3	A	PI	3	PI	hand+barrier+tool	3	661	748	715	NA
1	1	1.child	child	female	3	A	PI	3	PI	hand+box+barrier+tool	3	661	748	715	NA
1	1	1.child	child	female	3	A	PI	3	R	face	3	0	748	635	NA
1	1	1.child	child	female	3	A	PI	3	R	hands	3	198	748	635	NA
1	1	1.child	child	female	3	A	PI	3	R	marble	3	94	748	635	NA
1	1	1.child	child	female	3	A	PI	3	R	box	3	601	748	635	NA
1	1	1.child	child	female	3	A	PI	3	R	tool	3	318	748	635	NA
1	1	1.child	child	female	3	A	PI	3	R	box+barrier	3	601	748	635	NA
1	1	1.child	child	female	3	A	PI	3	R	hands+tool	3	476	748	635	NA
1	1	1.child	child	female	3	A	PI	3	R	hand+barrier+tool	3	476	748	635	NA
1	1	1.child	child	female	3	A	PI	3	R	hand+box+barrier+tool	3	617	748	635	NA
1	1	1.child	child	female	3	A	PI	3	SM	face	3	272	407	352	NA
1	1	1.child	child	female	3	A	PI	3	SM	hands	3	42	407	352	NA
1	1	1.child	child	female	3	A	PI	3	SM	marble	3	42	407	352	NA
1	1	1.child	child	female	3	A	PI	3	SM	box	3	37	407	352	NA
1	1	1.child	child	female	3	A	PI	3	SM	tool	3	0	407	352	NA
1	1	1.child	child	female	3	A	PI	3	SM	box+barrier	3	37	407	352	NA
1	1	1.child	child	female	3	A	PI	3	SM	hands+tool	3	42	407	352	NA
1	1	1.child	child	female	3	A	PI	3	SM	hand+barrier+tool	3	42	407	352	NA
1	1	1.child	child	female	3	A	PI	3	SM	hand+box+barrier+tool	3	79	407	352	NA
1	1	1.child	child	female	4	A	NC	0	Intro	face	4	160	762	647	NA
1	1	1.child	child	female	4	A	NC	0	Intro	hands	4	0	762	647	NA
1	1	1.child	child	female	4	A	NC	0	Intro	marble	4	254	762	647	NA
1	1	1.child	child	female	4	A	NC	0	Intro	box	4	468	762	647	NA
1	1	1.child	child	female	4	A	NC	0	Intro	tool	4	0	762	647	NA
1	1	1.child	child	female	4	A	NC	0	Intro	box+barrier	4	468	762	647	NA
1	1	1.child	child	female	4	A	NC	0	Intro	hands+tool	4	0	762	647	NA
1	1	1.child	child	female	4	A	NC	0	Intro	hand+barrier+tool	4	0	762	647	NA
1	1	1.child	child	female	4	A	NC	0	Intro	hand+box+barrier+tool	4	468	762	647	NA
1	1	1.child	child	female	4	A	NC	1	NC	face	4	175	747	626	NA
1	1	1.child	child	female	4	A	NC	1	NC	hands	4	268	747	626	NA
1	1	1.child	child	female	4	A	NC	1	NC	marble	4	0	747	626	NA
1	1	1.child	child	female	4	A	NC	1	NC	box	4	77	747	626	NA
1	1	1.child	child	female	4	A	NC	1	NC	tool	4	106	747	626	NA
1	1	1.child	child	female	4	A	NC	1	NC	box+barrier	4	77	747	626	NA
1	1	1.child	child	female	4	A	NC	1	NC	hands+tool	4	353	747	626	NA
1	1	1.child	child	female	4	A	NC	1	NC	hand+barrier+tool	4	353	747	626	NA
1	1	1.child	child	female	4	A	NC	1	NC	hand+box+barrier+tool	4	430	747	626	NA
1	1	1.child	child	female	4	A	NC	1	R	face	4	20	748	692	NA
1	1	1.child	child	female	4	A	NC	1	R	hands	4	484	748	692	NA
1	1	1.child	child	female	4	A	NC	1	R	marble	4	338	748	692	NA
1	1	1.child	child	female	4	A	NC	1	R	box	4	433	748	692	NA
1	1	1.child	child	female	4	A	NC	1	R	tool	4	468	748	692	NA
1	1	1.child	child	female	4	A	NC	1	R	box+barrier	4	433	748	692	NA
1	1	1.child	child	female	4	A	NC	1	R	hands+tool	4	606	748	692	NA
1	1	1.child	child	female	4	A	NC	1	R	hand+barrier+tool	4	606	748	692	NA
1	1	1.child	child	female	4	A	NC	1	R	hand+box+barrier+tool	4	641	748	692	NA
1	1	1.child	child	female	4	A	NC	1	SM	face	4	131	480	434	NA
1	1	1.child	child	female	4	A	NC	1	SM	hands	4	192	480	434	NA
1	1	1.child	child	female	4	A	NC	1	SM	marble	4	169	480	434	NA
1	1	1.child	child	female	4	A	NC	1	SM	box	4	88	480	434	NA
1	1	1.child	child	female	4	A	NC	1	SM	tool	4	0	480	434	NA
1	1	1.child	child	female	4	A	NC	1	SM	box+barrier	4	88	480	434	NA
1	1	1.child	child	female	4	A	NC	1	SM	hands+tool	4	192	480	434	NA
1	1	1.child	child	female	4	A	NC	1	SM	hand+barrier+tool	4	192	480	434	NA
1	1	1.child	child	female	4	A	NC	1	SM	hand+box+barrier+tool	4	280	480	434	NA
1	1	1.child	child	female	4	A	NC	2	NC	face	4	120	748	677	NA
1	1	1.child	child	female	4	A	NC	2	NC	hands	4	386	748	677	NA
1	1	1.child	child	female	4	A	NC	2	NC	marble	4	93	748	677	NA
1	1	1.child	child	female	4	A	NC	2	NC	box	4	155	748	677	NA
1	1	1.child	child	female	4	A	NC	2	NC	tool	4	0	748	677	NA
1	1	1.child	child	female	4	A	NC	2	NC	box+barrier	4	155	748	677	NA
1	1	1.child	child	female	4	A	NC	2	NC	hands+tool	4	386	748	677	NA
1	1	1.child	child	female	4	A	NC	2	NC	hand+barrier+tool	4	386	748	677	NA
1	1	1.child	child	female	4	A	NC	2	NC	hand+box+barrier+tool	4	541	748	677	NA
1	1	1.child	child	female	4	A	NC	2	R	face	4	24	748	656	NA
1	1	1.child	child	female	4	A	NC	2	R	hands	4	313	748	656	NA
1	1	1.child	child	female	4	A	NC	2	R	marble	4	68	748	656	NA
1	1	1.child	child	female	4	A	NC	2	R	box	4	507	748	656	NA
1	1	1.child	child	female	4	A	NC	2	R	tool	4	281	748	656	NA
1	1	1.child	child	female	4	A	NC	2	R	box+barrier	4	507	748	656	NA
1	1	1.child	child	female	4	A	NC	2	R	hands+tool	4	388	748	656	NA
1	1	1.child	child	female	4	A	NC	2	R	hand+barrier+tool	4	388	748	656	NA
1	1	1.child	child	female	4	A	NC	2	R	hand+box+barrier+tool	4	631	748	656	NA
1	1	1.child	child	female	4	A	NC	2	SM	face	4	90	480	381	NA
1	1	1.child	child	female	4	A	NC	2	SM	hands	4	140	480	381	NA
1	1	1.child	child	female	4	A	NC	2	SM	marble	4	140	480	381	NA
1	1	1.child	child	female	4	A	NC	2	SM	box	4	100	480	381	NA
1	1	1.child	child	female	4	A	NC	2	SM	tool	4	0	480	381	NA
1	1	1.child	child	female	4	A	NC	2	SM	box+barrier	4	100	480	381	NA
1	1	1.child	child	female	4	A	NC	2	SM	hands+tool	4	140	480	381	NA
1	1	1.child	child	female	4	A	NC	2	SM	hand+barrier+tool	4	140	480	381	NA
1	1	1.child	child	female	4	A	NC	2	SM	hand+box+barrier+tool	4	240	480	381	NA
1	1	1.child	child	female	4	A	NC	3	NC	face	4	124	748	669	NA
1	1	1.child	child	female	4	A	NC	3	NC	hands	4	469	748	669	NA
1	1	1.child	child	female	4	A	NC	3	NC	marble	4	7	748	669	NA
1	1	1.child	child	female	4	A	NC	3	NC	box	4	50	748	669	NA
1	1	1.child	child	female	4	A	NC	3	NC	tool	4	0	748	669	NA
1	1	1.child	child	female	4	A	NC	3	NC	box+barrier	4	50	748	669	NA
1	1	1.child	child	female	4	A	NC	3	NC	hands+tool	4	469	748	669	NA
1	1	1.child	child	female	4	A	NC	3	NC	hand+barrier+tool	4	469	748	669	NA
1	1	1.child	child	female	4	A	NC	3	NC	hand+box+barrier+tool	4	519	748	669	NA
1	1	1.child	child	female	4	A	NC	3	R	face	4	0	748	689	NA
1	1	1.child	child	female	4	A	NC	3	R	hands	4	468	748	689	NA
1	1	1.child	child	female	4	A	NC	3	R	marble	4	419	748	689	NA
1	1	1.child	child	female	4	A	NC	3	R	box	4	458	748	689	NA
1	1	1.child	child	female	4	A	NC	3	R	tool	4	418	748	689	NA
1	1	1.child	child	female	4	A	NC	3	R	box+barrier	4	458	748	689	NA
1	1	1.child	child	female	4	A	NC	3	R	hands+tool	4	574	748	689	NA
1	1	1.child	child	female	4	A	NC	3	R	hand+barrier+tool	4	574	748	689	NA
1	1	1.child	child	female	4	A	NC	3	R	hand+box+barrier+tool	4	661	748	689	NA
