file	box
1.child.Box2	A_box2
1.child.Box3	A_box3
1.child.Box4	A_box4
1.parent.Box2	A_box2
1.parent.Box3	A_box3
1.parent.Box4	A_box4
2.child.Box2	B_box2
2.child.Box3	B_box3
2.child.Box4	B_box4
2.parent.Box2	B_box2
2.parent.Box3	B_box3
2.parent.Box4	B_box4
3.child.Box1	A_box1
3.child.Box2	A_box2
3.child.Box3	A_box3
3.child.Box4	A_box4
3.parent.Box1	A_box1
3.parent.Box2	A_box2
3.parent.Box3	A_box3
3.parent.Box4	A_box4
4.child.Box1	B_box1
4.child.Box2	B_box2
4.child.Box3	B_box3
4.child.Box4	B_box4
4.parent.Box1	B_box1
4.parent.Box2	B_box2
4.parent.Box3	B_box3
4.parent.Box4	B_box1
5.child.Box1	A_box1
5.child.Box2	A_box2
5.child.Box3	A_box3
5.child.Box4	A_box4
5.parent.Box1	A_box1
5.parent.Box2	A_box2
5.parent.Box3	A_box3
5.parent.Box4	A_box4
6.child.Box1	B_box1
6.child.Box2	B_box2
6.child.Box3	B_box3
6.child.Box4	B_box4
6.parent.Box1	B_box1
6.parent.Box2	B_box2
6.parent.Box3	B_box3
6.parent.Box4	B_box4
7.child.Box1	A_box1
7.child.Box2	A_box2
7.child.Box3	A_box3
7.child.Box4	A_box4
7.parent.Box1	A_box1
7.parent.Box2	A_box2
7.parent.Box3	A_box3
7.parent.Box4	A_box4
8.child.Box1	B_box1
8.child.Box2	B_box2
8.child.Box3	B_box3
8.child.Box4	B_box4
8.parent.Box1	B_box1
8.parent.Box2	B_box2
8.parent.Box3	B_box3
8.parent.Box4	B_box4
9.child.Box1	B_box1
9.child.Box2	B_box2
9.child.Box3	B_box3
9.child.Box4	B_box4
9.parent.Box1	B_box1
9.parent.Box2	B_box2
9.parent.Box3	B_box3
9.parent.Box4	B_box4
10.child.Box1	A_box1
10.child.Box2	A_box2
10.child.Box3	A_box3
10.child.Box4	A_box4
10.parent.Box1	A_box1
10.parent.Box2	A_box2
10.parent.Box3	A_box3
10.parent.Box4	A_box4
11.parent.Box1	A_box1
11.parent.Box2	A_box2
11.parent.Box3	A_box3
11.parent.Box4	A_box4
12.child.Box1	A_box1
12.child.Box2	A_box2
12.child.Box3	A_box3
12.child.Box4	A_box4
12.parent.Box1	A_box1
12.parent.Box2	A_box2
12.parent.Box3	A_box3
12.parent.Box4	A_box4
13.child.Box1	B_box1
13.child.Box2	B_box2
13.child.Box3	B_box3
13.child.Box4	B_box4
13.parent.Box1	B_box1
13.parent.Box2	B_box2
13.parent.Box3	B_box3
13.parent.Box4	B_box4
14.child.Box1	A_box1
14.child.Box2	A_box2
14.child.Box3	A_box3
14.child.Box4	A_box4
14.parent.Box1	A_box1
14.parent.Box2	A_box2
14.parent.Box3	A_box3
14.parent.Box4	A_box4
15.child.Box1	B_box1
15.child.Box2	B_box2
15.child.Box3	B_box3
15.child.Box4	B_box4
15.parent.Box1	B_box1
15.parent.Box2	B_box2
15.parent.Box3	B_box3
15.parent.Box4	B_box4
16.child.Box1	A_box1
16.child.Box2	A_box2
16.child.Box3	A_box3
16.child.Box4	A_box4
16.parent.Box1	A_box1
16.parent.Box2	A_box2
16.parent.Box3	A_box3
16.parent.Box4	A_box4
17.child.Box1	B_box1
17.child.Box2	B_box2
17.child.Box3	B_box3
17.child.Box4	B_box4
17.parent.Box1	B_box1
17.parent.Box2	B_box2
17.parent.Box3	B_box3
17.parent.Box4	B_box4
18.child.Box1	A_box1
18.child.Box2	A_box2
18.child.Box3	A_box3
18.child.Box4	A_box4
18.parent.Box1	A_box1
18.parent.Box2	A_box2
18.parent.Box3	A_box3
18.parent.Box4	A_box4
19.child.Box1	B_box1
19.child.Box2	B_box2
19.child.Box3	B_box3
19.child.Box4	B_box4
19.parent.Box1	B_box1
19.parent.Box2	B_box2
19.parent.Box3	B_box3
19.parent.Box4	B_box4
20.child.Box1	A_box1
20.child.Box2	A_box2
20.child.Box3	A_box3
20.child.Box4	A_box4
20.parent.Box1	A_box1
20.parent.Box2	A_box2
20.parent.Box3	A_box3
20.parent.Box4	A_box4
21.child.Box1	B_box1
21.child.Box2	B_box2
21.child.Box3	B_box3
21.child.Box4	B_box4
21.parent.Box1	B_box1
21.parent.Box2	B_box2
21.parent.Box3	B_box3
21.parent.Box4	B_box4
22.child.Box1	A_box1
22.child.Box2	A_box2
22.child.Box3	A_box3
22.child.Box4	A_box4
22.parent.Box1	A_box1
22.parent.Box2	A_box2
22.parent.Box3	A_box3
22.parent.Box4	A_box4
23.child.Box1	B_box1
23.child.Box2	B_box2
23.child.Box3	B_box3
23.child.Box4	B_box4
23.parent.Box1	B_box1
23.parent.Box2	B_box2
23.parent.Box3	B_box3
23.parent.Box4	B_box4
24.child.Box1	A_box1
24.child.Box2	A_box2
24.child.Box3	A_box3
24.child.Box4	A_box4
24.parent.Box1	A_box1
24.parent.Box2	A_box2
24.parent.Box3	A_box3
24.parent.Box4	A_box4
25.child.Box1	B_box1
25.child.Box2	B_box2
25.child.Box3	B_box3
25.child.Box4	B_box4
25.parent.Box1	B_box1
25.parent.Box2	B_box2
25.parent.Box3	B_box3
25.parent.Box4	B_box4
